:START_ID,:END_ID,:TYPE,note
16369,60,限制,引起胃炎或胃蠕动异常
16369,587,限制,凡酸性饮料，都会牛奶pH值下降，使牛奶中的蛋白质凝结成块，不利于消化吸收
16369,586,限制,牛奶中的蛋白和钙结合发生沉淀，不易吸收
13925,16423,限制,同食会中毒
498,16423,限制,辣椒中的维生素C会被南瓜中的分解酶破坏
540,16423,限制,同食会中毒
374,16423,限制,同食会引起中毒
16423,497,限制,维生素C会被南瓜中的分解酶破坏
16423,526,限制,同食会引起痢疾
16423,501,限制,两补同时，令人肠胃气壅
16139,16629,限制,同食会引起中毒
501,16629,限制,同食会引起中毒
566,16629,限制,形成赖氨酸糖基，对人体不利
16629,557,限制,同食会引起中毒
435,16878,限制,易致血热，轻者燥咳，严重时会出鼻血
492,16941,限制,伤肾脏
559,16986,限制,同食易产生致癌物
176048,16986,限制,同食面部会生斑
16369,17106,限制,同食会引起痢疾
17106,15252,限制,同食易导致腹泻
299,17106,限制,菠菜中的维生素C会被黄瓜中的分解酶破坏
17106,420,限制,菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收
17106,507,限制,乳酪所含的化学成分会影响菠菜中丰富的钙质的吸收
17106,299,限制,维生素C会被破坏尽
15274,17201,限制,降低人体对两物中营养元素的吸收
16369,17201,限制,菜花的含的化学成分影响钙的消化吸收
17427,520,限制,同食会引起心痛，严重会致命
541,17884,限制,二物皆属凉性，不宜同食
17915,60,限制,诱发或导致甲状腺肿
17915,519,限制,同食会得皮炎
17915,193532,限制,性寒滑
15390,18098,限制,同食会中毒
15085,18098,限制,豆浆中的蛋白质比牛奶高，两者冲对，产生变性沉淀，不能被人体吸收
14198,18098,限制,同食会伤眼睛，引起眼睛不适，严重会失明
18098,600,限制,同食会胃痛
18098,275,限制,易导致腹泻
18098,420,限制,易导致腹泻
18098,560,限制,会改变蜂蜜甜美的味道，使其产生酸味
556,18098,限制,同食易导致腹泻
270,18098,限制,性质相反
