食材:ID,:LABEL,amount,eat_method,name,not_user,pickking_time,production_method,production_place,side_effects,taste,toxicity,user
19,食材,,,柠檬,胃溃疡、胃酸分泌过多，患有龋齿者和糖尿病患者慎食。,,,意大利,,,无毒,一般人群均可食用，暑热口干烦躁、消化不良者，维生素C缺乏者，胎动不安的孕妇，肾结石患者，高血压、心肌梗死患者适宜食用。
20,食材,,,发菜（干）,一般人都可食用。,,,,,,,1.一般人都可食用。2.适宜于肺热咳嗽、内热痰结中包括老年慢性支气管炎、肺炎、支气管扩张、肺痈且咳叶黄脓痰、腥臭痰以及高血压、肥胖症和佝偻病等患者食用；3.对妇女月经不调、营养不良、手术后病人和外伤患者愈合阶段的病人也十分相宜。
21,食材,,,平菇,一般人群均可食用。,,,,,,,1.一般人均可食用。2.体弱者、更年期妇女、肝炎、消化系统疾病，软骨病、心血管疾病患者、尿道结石症患者及癌症患者尤其适宜。
22,食材,,,鸡腿蘑(干),一般人都适合食用。,,,,,,,一般人群均可食用，尤其适合食欲不振、糖尿病人、痔疮患者食用。
23,食材,,,松蘑(干),一般人群均可食用。,,,,,,,一般人群均可食用，糖尿病患者、电脑工作者、妇女、癌症患者适用。
24,食材,,,鸡枞,一般人群均可食用。,,,,,,,一般人群均可食用，是老、少、妇、弱的理想滋补食品。
25,食材,,,琼脂,一般人都可食用。,,,,,,,一般人都可食用，尤其适合肥胖病人、高血压、高血脂人群食用。
26,食材,,,榆黄蘑(干),一般人群均可食用。,,,,,,,一般人群均可食用，尤其适合高血压、高血脂、肌萎、痢疾、肥胖症患者食用。
27,食材,,,羊肚菌,一般人群都适用。,,,,,,,1.一般人群均可食用。2.最适宜中老年人、阳萎、早泄、性功能减退、性欲冷淡的人、妇女、脑力工作者食用。
28,食材,3～6g,,花椒,孕妇，阴虚火旺者忌食。,秋季采收,,山东,,,有毒,一般人群均能食用。
29,食材,,,腐乳(臭),高血压、心血管病、痛风、肾病患者及消化道溃疡患者，宜少吃或不吃。,,,,,,,一般人群均可食用。
30,食材,,,腐乳(白),高血压、心血管病、痛风、肾病患者及消化道溃疡患者，宜少吃或不吃。,,,,,,,"一般人群均可食用。
"
31,食材,,,柚子,高血压患者、气虚体弱者不宜多食，脾虚便溏者和糖尿病患者忌食。,,,东南亚及中国大陆的长江以南,,,,一般人群均可食用，患胃病、消化不良者，慢性支气管炎、咳嗽、痰多气喘者，心脑肾病患者尤其适合。
32,食材,,,鸡油菌,一般人群都适用。,,,,,,,一般人群都适用。
33,食材,15～30g,,杨梅,溃疡病患者慎食，牙疼、胃酸过多、上火的人不要多吃，糖尿病患者忌食。,,,广西,,,无毒,一般人群均能食用。
34,食材,,,腌雪里蕻,一般人群均可食用。,,,,,,,一般人群均可食用。
35,食材,,,霉干菜,一般人群均可食用。,,,,,,,一般人群均可食用。
36,食材,,,凤尾菇,一般人都适合。,,,,,,,一般人都适合。
37,食材,,,樱桃,有溃疡症状者、上火者、慎食；糖尿病者忌食。,,,辽宁,,,,一般人群均可食用，消化不良者、瘫痪、风湿腰腿痛者、体质虚弱、面色无华者适宜食用。
38,食材,,,青头菌,一般人都适合食用。,,,,,,,一般人都适合食用，尤其适合有眼疾、肝火盛、忧郁症、痴呆症患者食用。
39,食材,,,粉皮,一般人群均可食用。,,,,,,,一般人群均可食用。
40,食材,,,黄耳,一般人都适合食用。,,,云南省,,,,一般人都适合食用。
41,食材,,,贡菜,一般人群均可食用。,,,,,,,一般人群均可食用。
42,食材,,,葛仙米,适合一般人群食用。,,,,,,,适合一般人群食用，尤其适合视力模糊、目赤红肿、夜盲症、脱肛、烫伤等患者。
43,食材,,,羊栖菜,脾胃虚寒者忌食用。,,,,,,,1.一般人群均可食用。2.尤其适合婴幼儿、老年人食用。3.特别适宜患甲状腺肿、颈淋巴结肿、浮肿、脚气、高血压、大肠癌、贫血、骨质疏松、糖尿病、肥胖症、动脉硬化等症人群多。
44,食材,,,杏鲍菇,一般人群均可食用。,,,,,,,一般人群均可食用。
45,食材,,,哈密瓜,患有脚气病、黄疸、腹胀、便溏、寒性咳喘以及产后、病后的人不宜多食；糖尿病人慎食。,,,中国,,,,一般人群均可食用。
46,食材,,,荔枝,阴虚火旺、有上火症状的人不要吃，以免加重上火症状，阴虚所致的咽喉干疼、牙龈肿痛、鼻出血等症者忌用。,,,,,,,一般人群均可食用，尤其适合产妇、老人、体质虚弱者、病后调养者食用；贫血、胃寒和口臭者也很适合。
47,食材,,,腌芥菜头,热性咳嗽患者、疮疖、目疾、痔疮、便血及内热偏盛者不宜食芥菜；高血压、血管硬化者应少食。,,,,,,,一般人群均可食用。
48,食材,,,石耳,石耳性凉而滑，胃寒脾虚泄泻者慎食。,,,,,,,1.一般人群均可食用。2.尤适宜肺热咳嗽、肺燥干咳、胃肠有热、便秘下血、头晕耳鸣、月经不调、冠心病、高血压等人。
49,食材,,,白灵菇,一般人皆可食用。,,,,,,,一般人皆可食用，尤适宜患胃病、伤寒、高血压、动脉硬化、儿童偻病、软骨病、中老年骨质疏松病等症人群。
50,食材,,,白参菌,一般人都可食用。,,,,,,,一般人都可食用，尤适宜患神经衰弱、头晕耳鸣、虚汗、妇女白带过多、小儿腹泻、头晕、偏头痛等症人群。
51,食材,,,蜂乳,一般人群均可食用。,,,,,,,一般人群均可食用，尤其适合老人和小孩食用。
52,食材,,,石花菜,?1.脾胃虚寒，肾阳虚者慎食；2.孕妇不宜多食。,,,分布于台湾,,,,1.一般人群均可食用。2.宜于肠炎、肾盂肾炎、肛周肿瘤、乳腺癌、子宫癌患者多食用。
53,食材,,,裙带菜(干),平素脾胃虚寒，腹泻便溏之人忌食。,,,,,,,1.一般人群均可食用。2.尤其适宜高血压病，冠心病，动脉硬化者、肥胖之人，甲状脓肿大者、大便秘结之人、少年儿童生长发育、怀孕妇女以及哺乳期食用。
54,食材,,,番茄酱,急性肠炎、细菌性痢疾及溃疡患者忌食。,,,,,,,一般人群均可食用。尤其适合动脉硬化、高血压、冠心病、肾炎患者食用，体质寒凉、血压低，冬季手脚易冰冷者，食用番茄酱胜过新鲜番茄。
55,食材,,,柏子仁,便溏及痰多者慎服。,秋、冬二季,,,,,,一般人群都可食用。
56,食材,,,柳松茸,一般人都适合。,,,,,,,一般人都适合，尤其适合高血压、心血管和肥胖症患者食用。
57,食材,,,豆瓣酱,高血压患者、肾病患者应少食。,,,,,,,一般人群均可食用。
58,食材,,,榛蘑(干),一般人群均可食用。,,,,,,,1.一般人群均可食用。2.尤其适合用眼过度、眼炎、夜盲症、皮肤干燥、高血脂、高血压、动脉硬化、粘膜失去分泌能力、羊痫风、腰腿疼痛、佝倭病、免疫低下、癌症、呼吸道疾病、消化道病的患者食用。
59,食材,,,北沙参,风寒咳嗽及中寒便溏者禁服；痰热咳嗽者慎服。,,,,,,,一般人都可食用。
60,食材,,,橘子,风寒咳嗽、痰饮咳嗽者不宜食用。,,,江西,,,,一般人群均可食用。
61,食材,,,萆解,肾虚阴亏者慎服。,,,,,,,一般人群均可食用。
62,食材,,,芽菜,因含盐分重，所以高血压、肾病患者慎食。,,,,,,,一般人均可食用。
63,食材,驱绦虫、姜片虫30～60g,,槟榔,"气虚下陷及脾虚便溏者禁服。
",春末至秋初采收成熟果实,,广东,,,无毒,一般人群均可食用。
64,食材,,,凉粉,一般人都可食用。,,,,,,,一般人都可食用。
65,食材,,,葡萄,糖尿病患者，便秘者不宜多吃；脾胃虚寒者不宜多食，多食则令人泄泻。,,,遍及欧洲、亚洲和美洲,,,无毒,一般人群均可适用，肾炎、高血压、水肿患者，儿童、孕妇、贫血患者，神经衰弱、过度疲劳、体倦乏力、未老先衰者，肺虚咳嗽、盗汗者，风湿性关节炎、四肢筋骨疼痛者，癌症患者尤其适合食用。
66,食材,,,西瓜,糖尿病患者少食，建议两餐中食用；脾胃虚寒，湿盛便糖者不宜食用。,,,,,,,一般人群均可食用。适宜高血压患者、急慢性肾炎患者、胆囊炎患者、高热不退者食用。
67,食材,,,橄榄,一般人群均可食用。,,,,,,,一般人群均可食用。
68,食材,,,灯心草,下焦虚寒，小便不禁者禁服。,夏末至秋季,,,,,无毒,一般人群均可食用。
69,食材,,,凉面,一般人群均可食用。,,,,,,,一般人群均可食用。
70,食材,10～15g,,丹参,月经过多而无瘀血者禁服，孕妇慎服。,春、秋二季采挖,,全国大部分地区都有分布,,,无毒,一般人群均可食用。
71,食材,,,枣（干）,湿盛或脘腹胀满者忌食；有宿疾、食积、便秘、脾胃虚寒者不宜多吃；虫枳龋齿、牙病作痛及痰热咳嗽患者不宜食用。,,,,,,,一般人群均可食用。中老年人、青少年、女性尤宜食用。
72,食材,,,甜面酱,糖尿病、高血压患者慎食。,,,,,,,一般人群均可食用。
73,食材,,,杏,产妇、幼儿、病人，特别是糖尿病患者，不宜吃杏或杏制品。,,,,,,,一般人群均可食用，急慢性气管炎咳嗽者、肺癌、鼻咽癌患者等，癌症及术后放化疗患者，头发稀疏者尤其适宜食用。
74,食材,,,春卷,一般人群均可食用。,,,,,,,一般人群均可食用。
75,食材,,,½ðéÙ,Æ¢ÈõÆøÐéÕß²»ÒË¶àÊ³£¬ÌÇÄò²¡»¼Õß¡¢¿ÚÉàËéÍ´¡¢ÑÀö¸Ö×Í´Õß¼ÉÊ³¡£,,,,,,,Ò»°ãÈËÈº¾ù¿ÉÊ³ÓÃ£¬ÐØÃÆÓô½á¡¢²»Ë¼ÒûÊ³Õß»òÉËÊ³±¥Âú¡¢×í¾Æ¿Ú¿ÊÕß£¬¼±ÂýÐÔÆø¹ÜÑ×¡¢¸ÎÑ×¡¢µ¨ÄÒÑ×¡¢¸ßÑªÑ¹¡¢Ñª¹ÜÓ²»¯Õß¸ü¼ÓÊÊºÏÊ³ÓÃ¡£
76,食材,,,狗肝菜,一般人皆可食用。,,,,,,,一般人皆可食用。
77,食材,,,甜瓜,出血及体虚者，脾胃虚寒、腹胀便溏者忌食。,,,,,,,一般人群均可食用，夏季烦热口渴者、口鼻生疮者、中暑者尤其适合食用。
78,食材,,,柿饼,糖尿病人、脾虚泄泻、便溏、体弱多病、产后、外感风寒者忌食；患有慢性胃炎、排空延缓、消化不良等胃动力功能低下者、胃大部切除术后不宜食柿子。,冬季果实成熟时,,,,,无毒,一般人群均可食用，适宜大便干结者、高血压患者、甲状腺疾病患者、长期饮酒者。
79,食材,,,桑椹,体虚便溏者不宜食用，糖尿病患者忌食桑椹，儿童不宜大量食用。,,,,,,,一般人群均可食用，尤其适合肝肾阴血不足者，少年发白者，病后体虚、体弱、习惯性便秘者。
80,食材,,,桑葚（紫、红）,体虚便溏者不宜食用，糖尿病患者忌食桑椹，儿童不宜大量食用。,,,,,,,一般人群均可食用。尤其适合肝肾阴血不足者，少年发白者，病后体虚、体弱、习惯性便秘者。
81,食材,3-10g,,白芷,气虚血热、阴虚阳亢者禁服。,夏,,中国东北及华北地区,,,无毒,一般人群均可食用。
82,食材,,,酸枣,一般人群均可食用。,,,山西,,,,一般人群均可食用，心脏病患者尤其适合食用。
83,食材,,,椰子,凡大便清泄者忌食椰肉；体内热盛的人不宜常吃椰子；同时病毒性肝炎、脂肪肝、支气管哮喘、高血压、脑血管、胰腺炎、糖尿病等患者也应忌食。,,,海南,,,,一般人群均可食用。
84,食材,5～10g,,槐花,脾胃虚寒及阴虚发热而无实火者慎服。,夏季花开放或花蕾形成时采收,,以黄土高原最为常见。日本、朝鲜及越南有分布,,,无毒,一般人皆可食用。
85,食材,,,蜜桃,内热偏盛、易生疮疖、糖尿病患者不宜多吃，婴儿、糖尿病患者忌食。,,,中国山东蒙阴的水蜜桃,,,,一般人群均可食用，尤其适合老年体虚、肠燥便秘者、身体瘦弱、阳虚肾亏者食用。
86,食材,,,雪花梨,慢性肠炎、胃寒病、糖尿病患者忌食生梨。,,,,,,,一般人群均可食用，咳嗽痰稠或无痰、咽喉发痒干疼者，慢性支气管炎、肺结核患者，高血压、心脏病、肝炎、肝硬化患者，饮酒后或宿醉未醒者尤其适合。
87,食材,,,陈皮,气虚体燥、阴虚燥咳、吐血及内有实热者慎服。,果实成熟时采收,,,,,,1.橘皮(包括橘红与橘白)泡茶，适宜脾胃气滞、脘腹胀满、消化不良、食欲不振、咳嗽多痰之人食用；2.也适宜预防高血压、心肌梗死、脂肪肝之人、急性乳腺炎者食用。
88,食材,,,杨桃,脾胃虚寒、纳差泄泻者少食。,,,印度尼西亚,,,,一般人群均可食用，风热咳嗽、咽喉疼痛者，小便热涩者，泌尿系统结石患者，患有心血管疾病或肥胖的人尤其适合食用。
89,食材,,,西番莲,一般人群均可食用。,,,原产墨西哥热带高原,,,,一般人群均可食用。
90,食材,1～3g,,丁香,"脾胃虚寒者、呕吐者、热病及阴虚内热者忌服。
",,,海南等地,,,无毒,一般人群均可食用。
91,食材,,,白茅根,脾胃虚寒、溲多不渴者禁服。,春、秋二季采挖,,,,,无毒,一般人群都可食用。
92,食材,,,椰子肉（鲜）,凡大便清泄者忌食椰肉，病毒性肝炎，脂肪肝，支气管哮喘、高血压，脑血管意外，胰腺炎，糖尿病等患者忌食。,,,,,,,一般人群均可食用。
93,食材,3-6g,,薄荷,孕妇勿过量食用；阴虚发热、血虚眩晕者慎服；表虚自汗者禁服。,宜春,,产南北各地,,,无毒,适宜头痛目赤、咽喉肿痛、口疮口臭、牙龈肿痛、风热瘙痒者。
94,食材,,,白及,外感及内热壅盛者禁服。,,,,,,,一般人群都可食用。
95,食材,,,阿胶,?脾胃虚弱，消化不良者慎服。,,,,,,,适宜营养型贫血的女性、身体虚弱、免疫力低下的人士、产后的妇女。
96,食材,,,枸杞子,不适宜外感实热、脾虚泄泻者服用。,,,,,,,一般人均可使用。适宜肝肾阴虚、癌症、高血压、高血脂、动脉硬化、慢性肝炎、脂肪肝患者食用；用眼过度者、老人更加适合。
97,食材,9-15g,,葱白,表虚多汗者慎服。,秋二季,,全国各地,,,无毒,一般人都可食用。
98,食材,3～10g,,巴戟天,凡火旺泄精、阴虚水乏、小便不利、口舌干燥者皆禁用。,全年均可采挖,,福建,,,无毒,适宜身体虚弱、精力差、免疫力低下、易生病者。
99,食材,外用适量,,百部,脾胃虚弱者慎服。,秋二季,,,,,,一般人群都可食用。
100,食材,9-15g,,半边莲,虚症水肿禁服。,夏季,,中国以及印度以东的亚洲其它各国也有,,,无毒,一般人群均可食用。
101,食材,,,白术,"阴虚内热、津液亏耗者慎服；内有实邪壅滞者禁服。
",,,,,,,一般人群均可食用。
102,食材,,,白芍药,虚寒症不宜单用。,,,,,,,一般人群都可食用。
103,食材,3～9g,,半夏,阴虚燥咳嗽、津伤口渴、出血症及燥痰者禁服。,夏,,东北,,,有毒,一般人群均可食用。
104,食材,,,白豆蔻,"阴虚血燥者禁服。

",,,,,,,一般人群均可食用。
105,食材,9～15g,,白头翁,"虚寒泻痢者慎服。
",春,,东北,,,无毒,一般人群均可食用。
106,食材,,,麦芽,孕妇、无积滞者慎服，妇女哺乳期禁服。,果实成熟时采收,,,,,无毒,一般人都可食用。
107,食材,,,杜仲,阴虚火旺者慎服。（肾虚火炽者不宜用，即用当与黄柏、知母同入。）,,,安徽,,,,适宜高血压患者、习惯性流产妇女、小儿麻痹后遗症患者、肾气不足者。
108,食材,,,淡豆豉,胃虚易呕者慎服。,,,,,,,一般人都可食用。
109,食材,15～60g,,白花蛇舌草,孕妇慎用。,夏秋采集,,尼泊尔,,,无毒,一般人群都可食用。
110,食材,,,桂花,桂花辛温，体质偏热，火热内盛者慎食,,,,,,,适宜口臭者、牙痛者、慢性支气管炎患者。
111,食材,,,川乌头,阴虚阳盛，热症疼痛及孕妇禁服。,,,,,,,一般人群都可食用。
112,食材,6～9g,,穿心莲,阳虚症及脾胃虚弱者慎服。,秋季,,我国南方诸地,,,无毒,一般人群都可食用。
113,食材,,,地龙,"脾胃虚寒者慎服，孕妇禁服。
",,,,,,,一般人群均可食用。
114,食材,5～10g,,穿山甲,气血虚弱、痈疽已溃及孕妇禁服。,全年,,广东,,,有小毒,一般人都可食用。
115,食材,,,独脚金,一般人群均可食用。,,,,,,,精神紧张、烦躁易怒、失眠人群可食用。
116,食材,9-15g,,板蓝根,脾胃虚寒、无实热火毒者慎服。,秋季,,全国各地,,,毒性极小,一般人群都可食用。
117,食材,,,川牛膝,孕妇及月经过多者禁服。,,,,,,,一般人群均可食用。
118,食材,,,地鳖,孕妇禁用。,,,,,,,一般人群均可食用。
119,食材,,,川芎,月经过多，孕妇及出血性疾病慎服；阴虚火旺者禁服。,,,,,,,一般人群都可食用。
120,食材,3～l0g,,佛手,阴虚血燥、气无郁滞者慎服。,秋季果实尚未变黄或变黄时采收,,四川等地,,,,一般人都可食用。
121,食材,9～15g,,车前子,内伤劳倦，阳气下陷，肾虚精滑及内无湿热者禁服。肾气虚脱者，忌与淡渗药同用。,秋二季种子成熟时采收,,江西,,,无毒,一般人群均可食用。
122,食材,9～30g,,车前草,精滑不固者禁服。,秋季采收,,亚洲大部分地区都有分布,,,无毒,一般人都可食用。
123,食材,煎服，5-15g。也可入丸、散,,冬虫夏草,有表邪者慎服。,夏至前后，积雪尚未溶化时,,,,,,适宜慢性支气管病人、肺气肿患者、肺结核患者、支气管哮喘者、盗汗者、阳痿遗精者。
124,食材,3～9g,,苍术,阴虚内热、出血者禁服，气虚多汗者慎服。,春、秋二季采挖,,河北,,,无毒,一般人群均可食用。
125,食材,,,地骨皮,"脾胃虚寒者慎服。
",,,,,,,一般人群均可食用。
126,食材,5-10g,,菊花,菊花性凉，气虚胃寒、食少泄泻者慎服。,9-11月初开花时,,中国各城镇与及农村,,,无毒,一般人都可食用。
127,食材,,,茯苓,阴虚而无湿热、虚寒精滑、气虚下陷者慎服。,7～9月采挖,,,,,无毒,适宜小便不利、脾虚食少、大便泄泻、水肿涨满、癌症、肝病、糖尿病患者。
128,食材,5～9g,,常山,"正气不足，久病体弱及孕妇慎服。
",秋季采挖,,安徽,,,有毒,一般人群均可食用。
129,食材,,,三七,孕妇慎服。,秋季花开前采挖,,,,,无毒,一般人群都可食用。
130,食材,每次3-9克,,北豆根,脾虚便溏者禁服，孕妇及有肝病慎服。,秋二季,,东北,,,有小毒,一般人群都可食用。
131,食材,3～15g,,附子,阴虚阳盛，真热假寒及孕妇均禁服。,6月下旬至8月上旬采挖,,陕西,,,有毒,一般人群都可食用。
132,食材,,,沉香,"阴虚火旺、气虚下陷者慎服。
",全年均可采收,,印度尼西亚,,,,一般人群均可食用。
133,食材,3～6g,,蛤蚧,外感风寒喘嗽及阴虚火旺者禁服。,全年均可捕捉,,亚洲北回归线附近的亚热带地区。,,,,一般人都可食用。
134,食材,,,龟甲,脾胃虚寒、内有寒湿及孕妇禁服。,全年均可捕捉，以秋、冬二季为多,,,,,,一般人群都可食用。
135,食材,,,瓜蒌,"脾胃虚寒，食少便溏及寒痰、湿痰者慎服。
",,,,,,,一般人群均可食用。
136,食材,9～15g,,地榆,虚寒性出血症禁服，血虚有瘀者慎服。,秋季采挖,,广布于欧洲以及中国大陆各个省份,,,无毒,一般人都可食用。
137,食材,,,椿白皮,泻痢初起及脾胃虚寒者慎服。,,,,,,,一般人群均可食用。
138,食材,6-9g,,淡竹叶,体虚有寒者、孕妇禁服。,5-6月未开花时,,福建,,,无毒,一般人群都可食用。
139,食材,,,酸模,一般人群均可食用。,,,,,,,一般人群均可食用。
140,食材,,,大蓟,"脾胃虚寒者禁服。
",夏、秋二季花开时采割,,,,,无毒,一般人群均可食用。
141,食材,,,滑石,"孕妇慎服；脾胃虚弱，热病津伤，或肾虚滑精者禁服。
",,,,,,,一般人群均可食用。
142,食材,,,天花粉,寒痰及亡阳作渴者慎服；脾胃虚寒、大便溏泄者禁服。,秋季最佳,,,,,无毒,一般人都可食用。
143,食材,9～15g,,黄精,"中寒泄泻及痰湿痞满者禁服。
",秋二季采挖,,西伯利亚,,,无毒,一般人群均可食用。
144,食材,,,黄荆子,湿热燥渴无气滞者忌用。,,,,,,,一般人群均可食用。
145,食材,3～10g,,桔梗,阴虚久咳及咳血者禁服；脾胃虚弱者慎服。,,,日本和西伯利亚东部,,,有小毒,一般人皆可食用。
146,食材,,,旱莲草,脾肾虚寒者慎服。,,,,,,,一般人都可食用。
147,食材,,,土三七,孕妇禁服。,,,,,,,一般人都可食用。
148,食材,5～10g,,荆芥,表虚自汗、阴虚火旺者禁服。,穗绿时采割,,自中南欧经阿富汗,,,无毒,一般人群都可食用。
149,食材,6～12g,,鸡冠花,湿滞未尽者，不宜早用。,秋季花盛开时采收,,中国南北各地区,,,,一般人群都可食用。
150,食材,3-9g,,万年青,孕妇禁服。,全年采收,,日本,,,小毒,一般人都可食用。
151,食材,6-12g,,乌梢蛇,血虚生风者慎服。,多于夏,,河南,,,,一般人群都可食用。
152,食材,,,剑花,一般人群均可食用。,,,,,,,肺结核、支气管炎、颈淋巴结结核、腮腺炎人群可食用。
153,食材,,,谷精草,"血虚目疾慎服。

",,,,,,,一般人群均可食用。
154,食材,2-5g,,黄连,"胃虚呕恶，脾虚泄泻，五更肾泻者，均慎服。
",秋季,,四川,,,无毒,一般人群均可食用。
155,食材,,,莲花,一般人都可食用。,,,中亚，西亚,,,,一般人都可食用。
156,食材,,,西洋参,脾阳虚，寒湿中阻及湿热内蕴者禁服。,,,,,,,一般人都可食用。
157,食材,,,海马,"孕妇及阴虚阳亢者禁服。
",,,澳大利亚,,,,一般人群均可食用。
158,食材,,,牡蛎,"虚而有寒者忌之。
",,,,,,,"病虚而多热者宜用。
"
159,食材,,,合欢花,"一般人群均可食用。
",,,,,,,"一般人群均可食用。
"
160,食材,3～10g,,厚朴,孕妇慎服；气虚、津伤血枯者禁服。,根皮和枝皮直接阴干,,四川，贵州东北部,,,无毒,一般人群均可食用。
161,食材,,,海螵蛸,阴虚多热者慎服。,,,,,,无毒,一般人皆可食用。
162,食材,,,合欢皮,"溃疡病及胃炎患者慎服，风热自汗、外感不眠者禁服。
",,,,,,,一般人群均可食用。
163,食材,,,仙人掌,脾胃虚弱者少食，虚寒者忌用。,,,南美洲,,,,中老年人，肥胖者尤宜。
164,食材,,,灵芝,实证慎服。,,,广西等地,,,,适宜失眠多梦、心血管病患者、慢性呼吸系统疾病患者、体质虚弱、气血不足、白血球减少的患者。
165,食材,3～10g,,黄芩,脾胃虚寒，食少便溏者禁服。,秋二季,,苏联东西伯利亚,,,小毒,一般人皆可食用。
166,食材,,,苦参,苦参苦寒败胃损肾，脾胃虚寒、肾虚无热者禁服。,春、秋二季,,,,,无毒,一般人群都可食用。
167,食材,,,火麻仁,脾肾不足之便溏、阳痿、遗精、带下慎服。,秋季果实成熟时,,,,,,一般人群都可食用。
168,食材,6～12g,,玉竹,脾虚便溏者慎服，痰湿内蕴者禁服。,秋季采挖,,中国,,,无毒,适宜体质虚弱、免疫力降低的人、阴虚燥热、食欲不振、肥胖的人。
169,食材,,,远志,"阴虚火旺，脾胃虚弱者慎服。
",,,,,,,一般人群均可食用。
170,食材,,,芦荟,脾胃虚寒、食少便溏及孕妇禁服。,,,南美洲的西印度群岛,,,,适宜便秘、十二指肠溃疡、痤疮、溃疡、心血管疾病、糖尿病、癌症、肥胖者的佳品。
171,食材,15-30g,,芦根,脾胃虚寒者慎服。,全年均可采挖,,生于江河湖泽,,,无毒,一般人群都可食用。
172,食材,,,玫瑰花,阴虚有火者勿服。,,,,,,,适宜皮肤粗糙、贫血患者、体质虚弱者。
173,食材,,,爵床,"孕妇慎服；脾胃虚寒者禁服。
",,,,,,,一般人群均可食用。
174,食材,,,（豕希）莶草,无风湿者慎服。,,,,,,,本品性味苦寒，又有化湿热作用，故痹痛偏于湿热的病症尤为适宜。
175,食材,3-5g,,露蜂房,气虚血弱及肾功能不全者慎服。,10-12月间,,全国大部分地区,,,有毒,一般人群都可食用。
176,食材,1.5～3g,,茉莉花,茉莉花辛香偏温，火热内盛，燥结便秘者慎食。,花初开时采收,,原产印度,,,无毒,一般人都可食用。
177,食材,,,麦门冬,虚寒泄泻、湿浊中阻、风寒或寒痰咳喘者禁服。,,,,,,,一般人都可食用。
178,食材,3～6g,,砂仁,阴虚血燥，火热内炽者慎服。,夏,,广西和云南,,,无毒,一般人群均可食用。
179,食材,一日2～3克,,鹿茸,凡阴虚阳亢，血分有热，胃火盛或肺有痰热，以及外感热病未愈者，均应忌服。,,,,,,,适宜体质虚弱者、易疲劳者、腰脊冷痛者、性功能减退者。
180,食材,,根茎洗净焯熟后食用,马兰头,孕妇慎服。,,,,,,,一般人都可食用。
181,食材,,,款冬花,肺火盛者慎服。,,,,,,,一般人群都可食用。
