治疗方法:ID,:LABEL,name
44822,治疗方法,亲情疗法
44823,治疗方法,营养支持治疗
44824,治疗方法,放疗
44825,治疗方法,免疫学治疗
44826,治疗方法,针灸推拿康复治疗
44827,治疗方法,基础疾病治疗
44828,治疗方法,无有效治疗方法
44829,治疗方法,保守治疗
44830,治疗方法,自然分娩
44831,治疗方法,抗结核治疗，
44832,治疗方法,支持性治疗中医中药
44833,治疗方法,纠正酸中毒，纠正低血钾，口服维生素D和钙剂，口服氢氯噻嗪。以及对症治疗。
44834,治疗方法,药物治疗，继发性可能需要手术治疗
44835,治疗方法,靶向药物治疗
44836,治疗方法,手术切除送病理检查
44837,治疗方法,药物治疗，支持性治疗
44838,治疗方法,中医药物治疗
44839,治疗方法,大环类脂类、皮质激素、针对常见感染病原菌的抗生素治疗、氧疗、机械通气以及对症支持治疗
44840,治疗方法,急救治疗
44841,治疗方法,抗病毒及对症支持治疗
44842,治疗方法,药物治疗，
44843,治疗方法,无水乙醇介入治疗
44844,治疗方法,驱丝虫及治疗寄生虫药物治疗
44845,治疗方法,激光治疗
44846,治疗方法,立即抢救，氧疗，药物治疗
44847,治疗方法,角膜移植手术
44848,治疗方法,，粒子植入，消融
44849,治疗方法,加放疗
44850,治疗方法,手术治疗为主，若失去手术时机，可药物支持性治疗
44851,治疗方法,自我调整
44852,治疗方法,对症治疗，
44853,治疗方法,及时有效的心肺复苏，药物治疗
44854,治疗方法,治疗原发病
44855,治疗方法,坐浴，直肠给药，手术治疗
44856,治疗方法,药物溶栓治疗
44857,治疗方法,目前医学无特效治疗方法，主要是对症治疗
44858,治疗方法,粒细胞吸附疗法
44859,治疗方法,以手术治疗为主
44860,治疗方法,有效刷牙，洁治
44861,治疗方法,药物治疗，介入治疗，手术治疗
44862,治疗方法,对症治疗为主，无法根治性治愈
44863,治疗方法,对症处理
44864,治疗方法,以预防为主，一旦发生立即心肺复苏，药物治疗
44865,治疗方法,氧疗
44866,治疗方法,支持治疗康复治疗
44867,治疗方法,内科综合治疗
44868,治疗方法,抗感染治疗、对症及支持治疗。
44869,治疗方法,目前无有效治疗方法
44870,治疗方法,射频治疗
44871,治疗方法,对症治疗为主
44872,治疗方法,中医康复治疗
44873,治疗方法,外科治疗
44874,治疗方法,康复训练治疗
44875,治疗方法,预防并发症
44876,治疗方法,对症治疗，支持性治疗
44877,治疗方法,手术治疗搭桥治疗
44878,治疗方法,下腔静脉滤器植入、导管溶栓
44879,治疗方法,手术治疗，激素替代治疗
44880,治疗方法,多为对症处理，对于Ⅳ型可替代治疗，其他类型可行骨髓移植治疗
44881,治疗方法,激光治疗对症支持治疗
44882,治疗方法,药物治疗抗感染治疗
44883,治疗方法,造血干细胞移植治疗
44884,治疗方法,中医治疗、急症对症治疗、支持性治疗
44885,治疗方法,支气管肺泡灌洗
44886,治疗方法,手术复位治疗
44887,治疗方法,药物治疗，营养支持治疗，手术治疗
44888,治疗方法,康复训练治疗物理因子治疗
44889,治疗方法,药物治疗，介入
44890,治疗方法,根据不同病情，采用口服药物，输液等，对于有脱水，电解质紊乱的要及时纠正，及对症支持等综合治疗
44891,治疗方法,手术疗法
44892,治疗方法,激光，冷冻，手术切除
44893,治疗方法,磺胺类药物治疗为主
44894,治疗方法,抗真菌治疗，对症治疗，
44895,治疗方法,药物治疗包括口服碳酸氢钠、抑酸剂及支持性治疗，药物治疗无效者可在胃镜下碎石或取出
44896,治疗方法,针灸推拿
44897,治疗方法,手术治疗化疗放射性治疗
44898,治疗方法,支持性治疗，必要时抗青光眼手术治疗
44899,治疗方法,口腔修复治疗
44900,治疗方法,康复治疗生物反馈治疗扩肛治疗
44901,治疗方法,内分泌治疗
44902,治疗方法,饮食疗法
44903,治疗方法,部分慢性感染如曲霉球需要手术切除治疗
44904,治疗方法,现场止血包扎，手术控制出血，积极抗休克治疗
44905,治疗方法,康复治疗中医中药
44906,治疗方法,对因治疗
44907,治疗方法,手术治疗，化疗，靶向药物治疗药物治疗
44908,治疗方法,中医中药手术治疗
44909,治疗方法,药物保守治疗
44910,治疗方法,抗生素药物
44911,治疗方法,"药物治疗,"
44912,治疗方法,药物治疗、内镜治疗、手术治疗
44913,治疗方法,支持治疗、必要时手术治疗
44914,治疗方法,肝内胆管结石、胆囊结石需要手术治疗，胆总管结石可内镜取出，另可以辅以药物治疗如熊去氧胆酸、胆宁片等
44915,治疗方法,对症及支持治疗
44916,治疗方法,高压氧治疗
44917,治疗方法,直线加速器治疗
44918,治疗方法,药物治疗、
44919,治疗方法,.对症治疗
44920,治疗方法,药物治疗支持性治疗
44921,治疗方法,矫正复位
44922,治疗方法,营养支持
44923,治疗方法,药物治疗如利他林、胃复安
44924,治疗方法,对症药物治疗
44925,治疗方法,介入治疗、肝移植治疗、药物治疗
44926,治疗方法,内镜下手术治疗
44927,治疗方法,靶向治疗
44928,治疗方法,纠正酸中毒、纠正低钾血症、氢氯噻嗪口服，必要时透析治疗
44929,治疗方法,药物治疗，饮食控制，运动。
44930,治疗方法,免疫抑制剂
44931,治疗方法,。中医可以分气虚、血虚、肝阳上亢、淤血证型治疗
44932,治疗方法,大肠水疗
44933,治疗方法,对症治疗，心理治疗
44934,治疗方法,心理认知行为治疗
44935,治疗方法,颈动脉狭窄可以通过药物控制或外科手术治疗。如内膜剥脱术或介入支架植入术，也可以采用中医药保守治疗
44936,治疗方法,，对症治疗，支持治疗，手术治疗
44937,治疗方法,尚无满意疗法，药物治疗
44938,治疗方法,抗菌素治疗，对症治疗，
44939,治疗方法,以外科手术为主的综合性治疗
44940,治疗方法,支持性
44941,治疗方法,持续不缓解可使用呼吸机辅助呼吸，药物治疗
44942,治疗方法,手术治疗，介入治疗，药物治疗
44943,治疗方法,正畸治疗，正颌手术治疗
44944,治疗方法,及早停用相关抗生素、抗生素治疗、粪便菌群移植治疗、手术治疗
44945,治疗方法,中医辨证施治
44946,治疗方法,无特殊处理
44947,治疗方法,低脂饮食
44948,治疗方法,慢性期患者或者陈旧血栓患者采用保守治疗
44949,治疗方法,多数不需要治疗，当出现严重呼吸困难时可手术治疗
44950,治疗方法,支持治疗，血液透析或血浆置换
44951,治疗方法,精神疏导
44952,治疗方法,手术治疗(脑起搏器植入)
44953,治疗方法,手术治疗，冷冻治疗和放射治疗，α-干扰素治疗
44954,治疗方法,"外科手术(微血管减压),射频,伽玛刀"
44955,治疗方法,手术及内镜下治疗
44956,治疗方法,辅助生育
44957,治疗方法,手术及内镜治疗
44958,治疗方法,介入性放射学
44959,治疗方法,心理疏导治疗
44960,治疗方法,西医药治疗
44961,治疗方法,根据病情，给予口服药物，补液纠正脱水剂酸中毒及对症支持等综合治疗
44962,治疗方法,胸腔闭式引流术
44963,治疗方法,抗菌素治疗
44964,治疗方法,及时心肺复苏，药物治疗
44965,治疗方法,，冷冻治疗
44966,治疗方法,药物治疗
44967,治疗方法,穴位注射
44968,治疗方法,中西医药物结合治疗
44969,治疗方法,呼吸机辅助治疗
44970,治疗方法,药物治疗如胰酶、抑酸、补液、抗感染等综合治疗，病因治疗如处理胆结石、高脂血症等
44971,治疗方法,立体定向放射治疗
44972,治疗方法,无有效的治疗方法，多为对症处理
44973,治疗方法,早期吸氧，药物治疗
44974,治疗方法,中西医结合药物治疗
44975,治疗方法,休息、饮食和营养、药物治疗、支持治疗
44976,治疗方法,抗病毒药物治疗
44977,治疗方法,抗疟药物治疗，脾切除术，
44978,治疗方法,手术治疗，化疗、免疫治疗
44979,治疗方法,药物治疗如抑酸剂、黏膜保护剂，对症治疗
44980,治疗方法,大部分可通过内镜取出，少数较大异物或者合并有严重并发症者需手术治疗
44981,治疗方法,康复治疗，手术治疗
44982,治疗方法,肾移植
44983,治疗方法,多数可通过食管镜取出，少部分合并严重并发症者需要手术治疗。
44984,治疗方法,积极治疗原发病，
44985,治疗方法,药物治疗或介入手术降低门脉压力
44986,治疗方法,中西医结合药物治疗局部物理治疗
44987,治疗方法,手术、激光
44988,治疗方法,大多数无症状者无需治疗，有症状者根据病情不同可能采用手术治疗
44989,治疗方法,糖皮质激素
44990,治疗方法,戒酒，
44991,治疗方法,去除病因
44992,治疗方法,青霉素等抗生素药物治疗
44993,治疗方法,中西医药物治疗
44994,治疗方法,抗结核药物药物治疗、手术治疗、支持性治疗
44995,治疗方法,行为
44996,治疗方法,基础疾病治疗及支持性治疗
44997,治疗方法,解热镇痛、抗组胺、镇咳等对症药物
44998,治疗方法,磁石治疗
44999,治疗方法,微波消融
45000,治疗方法,药物治疗，手术治疗
45001,治疗方法,急性炎症药物治疗为主，慢性炎症可手术治疗
45002,治疗方法,药物抗菌治疗，连续的影像学检查，外科手段的综合治疗
45003,治疗方法,及时补充血容量，积极治疗原发病，药物治疗
45004,治疗方法,对症性治疗等
45005,治疗方法,及时输血，手术治疗，药物支持治疗
45006,治疗方法,，支持性治疗
45007,治疗方法,支持性治疗
45008,治疗方法,抗真菌治疗
45009,治疗方法,手术切除，送病理检查
45010,治疗方法,支持性治疗，中医结合治疗
45011,治疗方法,运动
45012,治疗方法,药物治疗，生命体征和心肺功能的支持
45013,治疗方法,无特别有效的治愈方式，愈后差
45014,治疗方法,对症支持性治疗为辅
45015,治疗方法,早期治疗原发病，预防并发症，后期以康复治疗和支持性治疗为主
45016,治疗方法,冷冻治疗
45017,治疗方法,支气管镜取出，严重的需要手术治疗。没有手术条件的可以先行气管切开术，以挽救生命
45018,治疗方法,化学治疗
45019,治疗方法,手术治疗为主，辅以药物治疗
45020,治疗方法,β受体阻滞剂、595脉冲染料激光、手术、注射
45021,治疗方法,手术治疗，保守治疗
45022,治疗方法,现场救治，药物治疗
45023,治疗方法,糖皮质激素等药物治疗
45024,治疗方法,支持性治疗及饮食治疗
45025,治疗方法,胸腔和腹腔穿刺引流出过多的液体，同时进行单侧卵巢输卵管切除术或楔形切除术
45026,治疗方法,激光或手术治疗
45027,治疗方法,放射治疗
45028,治疗方法,及时洗胃
45029,治疗方法,支架植入
45030,治疗方法,药物治疗，饮食治疗
45031,治疗方法,干细胞移植治疗
45032,治疗方法,教育
45033,治疗方法,主要是药物治疗和支持性治疗、如果条件许可，可以进行手术治疗
45034,治疗方法,中西医结合治疗
45035,治疗方法,，介入治疗，手术治疗
45036,治疗方法,电转律
45037,治疗方法,正畸治疗、正颌手术治疗
45038,治疗方法,祛痰药物治疗
45039,治疗方法,急性严重的可以激素冲击治疗，轻症者可以口服药物，少数需要长期应用胰岛素治疗
45040,治疗方法,熏冼、坐浴、直肠给药、注射治疗、中医治疗
45041,治疗方法,抗生素药物治疗、去除诱发因素、支持性治疗、提高机体免疫力治疗
45042,治疗方法,药物治疗，出现严重并发症死骨形成可手术清除病灶
45043,治疗方法,急性化脓性中耳炎药物治疗为主，慢性化脓性中耳炎可手术治疗
45044,治疗方法,按摩，石膏，手术
45045,治疗方法,中医辨证施治治疗
45046,治疗方法,对症支持治疗以及根据病原治疗
45047,治疗方法,，手术治疗
45048,治疗方法,外科手术
45049,治疗方法,药物治疗，玻璃体腔注射抗新生血管药物治疗
45050,治疗方法,一般无需治疗
45051,治疗方法,起搏器应用支持性治疗
45052,治疗方法,脱敏治疗
45053,治疗方法,药物综合治疗如补液、抑酶、抑酸、抗感染、营养支持等，发生严重并发症需手术治疗
45054,治疗方法,替代治疗
45055,治疗方法,一般采用支持疗法
45056,治疗方法,无需特殊治疗
45057,治疗方法,抗生素药物治疗
45058,治疗方法,根据原发部位不同
45059,治疗方法,导管溶栓
45060,治疗方法,药物治疗，介入治疗，冠脉搭桥治疗
45061,治疗方法,按摩、石膏矫正，手术治疗
45062,治疗方法,支持治疗，饮食治疗
45063,治疗方法,饮食调理
45064,治疗方法,微创腔镜下交通支静脉结扎
45065,治疗方法,开胸手术治疗、介入封堵、外科微创封堵治疗
45066,治疗方法,支持疗法
45067,治疗方法,静脉溶栓
45068,治疗方法,药物治疗如抑酸剂、黏膜保护剂，抗幽门螺杆菌治疗，急性出血予补液、输血治疗
45069,治疗方法,抗感染
45070,治疗方法,粒子植入
45071,治疗方法,如果没有引起肾积水或腰部不适，不需要治疗，定期复查即可。如出现症状，建议腹腔镜下手术开窗
45072,治疗方法,西医治疗
45073,治疗方法,局部封闭
45074,治疗方法,并发症治疗
45075,治疗方法,"放射治疗,热能治疗"
45076,治疗方法,镫骨手术治疗为主。
45077,治疗方法,抗结核治疗
45078,治疗方法,封闭治疗
45079,治疗方法,康针灸推拿及康复治疗
45080,治疗方法,多学科联合治疗
45081,治疗方法,康复治疗
45082,治疗方法,药物治疗如抑酸剂、促动力药，黏膜保护剂，内科治疗无效行手术治疗
45083,治疗方法,认知功能康复治疗
45084,治疗方法,灌肠治疗
45085,治疗方法,抗病毒治疗
45086,治疗方法,对症支持性治疗
45087,治疗方法,对症治疗
45088,治疗方法,牵引治疗
45089,治疗方法,支持性治疗，对症治疗
45090,治疗方法,全身应用抗病毒药物
45091,治疗方法,骨盆整复中药外敷
45092,治疗方法,放射疗法
45093,治疗方法,药物为辅
45094,治疗方法,中医治疗
45095,治疗方法,手术取栓
45096,治疗方法,心理治疗
45097,治疗方法,、介入治疗、中医中药治疗、
45098,治疗方法,及时补液，积极抗感染，营养
45099,治疗方法,对症治疗；
45100,治疗方法,乙醇的抗毒治疗，药物治疗
45101,治疗方法,急症手术治疗
45102,治疗方法,遗传咨询
45103,治疗方法,对症支持综合治疗
45104,治疗方法,康复治疗、神经调控治疗
45105,治疗方法,剖腹产
45106,治疗方法,抗菌药物治疗、原发病治疗、营养支持治疗、导致VAP的危险因素治疗
45107,治疗方法,保守治疗为主，配合康复治疗
45108,治疗方法,物理治疗
45109,治疗方法,透析治疗
45110,治疗方法,以化疗为主的疾病
45111,治疗方法,必要时手术治疗
45112,治疗方法,，手术治疗，
45113,治疗方法,对症支持治疗
45114,治疗方法,补液，纠正脱水及电解质和酸碱平衡紊乱，支持性治疗
45115,治疗方法,体育疗法
45116,治疗方法,手术治疗
45117,治疗方法,持续稳定得控制血压，保护心功能
45118,治疗方法,及时洗胃，药物治疗
45119,治疗方法,595脉冲染料激光首选，必要时1064激光，皮肤扩张手术治疗
45120,治疗方法,手术治疗，药物治疗
45121,治疗方法,排出或吸出异物
45122,治疗方法,手术治疗和药物治疗
45123,治疗方法,复位为主的治疗，少数患者需要手术
45124,治疗方法,放射性治疗
45125,治疗方法,只有血象改变而无症状的患儿，不需治疗，注意休息、营养即可，血象可自行恢复；有症状者即行对症处理
45126,治疗方法,支持性治疗，如果长期治疗无效疼痛严重和肿瘤鉴别困难可以考虑切除肋软骨
45127,治疗方法,康复治疗（EH为良性自限性疾病，绝大多数患儿不需任何内外科治疗，可待其自行消失）
45128,治疗方法,药物对症治疗为主，早期可能需要激素治疗
45129,治疗方法,、运动、饮食、心情调理
45130,治疗方法,抗菌治疗、抗休克治疗、纠正酸中毒，糖皮质激素应用以及防治并发症的发生
45131,治疗方法,综合性治疗和护理
45132,治疗方法,介入导管取栓
45133,治疗方法,主要是主要针对病因进行治疗，必要时应用起搏器
45134,治疗方法,改变生活方式和饮食习惯
45135,治疗方法,对症支持治疗、联合化疗、免疫治疗、造血干细胞移植、细胞因子治疗、去甲基化治疗、诱导分化及促凋亡治疗
45136,治疗方法,现场心肺复苏
45137,治疗方法,，介入性治疗，冠脉搭桥治疗
45138,治疗方法,小的声带息肉可以药物治疗消退，多数需要手术治疗，有多种手术方式
45139,治疗方法,手术切除囊肿
45140,治疗方法,早期可应用药物治疗，晚期验配助听器或进行听力康复
45141,治疗方法,低脂饮食，戒酒，运动
45142,治疗方法,康复治疗，激素替代治疗等
45143,治疗方法,康复治疗功能性治疗
45144,治疗方法,配镜治疗，遮盖健眼，康复治疗
45145,治疗方法,一般不需特殊治疗、若合并神经循环异常，可给予对症处理
45146,治疗方法,急性糜烂性胃炎给予药物治疗如黏膜保护剂、抑酸剂，止血、补液治疗，
45147,治疗方法,微创治疗
45148,治疗方法,其他治疗
45149,治疗方法,化学消融术
45150,治疗方法,对症治疗，支持治疗
45151,治疗方法,戒烟加药物治疗
45152,治疗方法,药物治疗改善心功能
45153,治疗方法,电视胸腔镜微创治疗
45154,治疗方法,、康复功能锻炼及支持性治疗
45155,治疗方法,药物治疗如抑酸剂、黏膜保护剂
45156,治疗方法,高浓度吸氧
45157,治疗方法,一旦发生就地抢救
45158,治疗方法,支持治疗
45159,治疗方法,无特效药物治疗
45160,治疗方法,体育锻炼
45161,治疗方法,气管插管，机械通气，心脏心外按压，心脏电除颤等支持性治疗；
45162,治疗方法,肝移植治疗
45163,治疗方法,非手术治疗
45164,治疗方法,液体刀治疗
45165,治疗方法,抗病毒治疗，保肝治疗，手术治疗。
45166,治疗方法,手术
45167,治疗方法,抗曲霉菌药物治疗
45168,治疗方法,中药治疗
45169,治疗方法,，综合治疗
45170,治疗方法,药物治疗如胆汁吸附剂、促动力药物
45171,治疗方法,药物治疗如抑酸剂、黏膜保护剂、胃肠动力药、中成药，有Hp感染者进行根除治疗
45172,治疗方法,抗感染及止咳平喘等对症及支持治疗
45173,治疗方法,基因治疗
45174,治疗方法,内镜下治疗
45175,治疗方法,激光及冷冻治疗
45176,治疗方法,，药物治疗，中医中药，免疫治疗
45177,治疗方法,病因治疗
45178,治疗方法,抗菌药物
45179,治疗方法,对症治疗，抗病毒治疗
45180,治疗方法,依据囊肿部位、大小、临床症状严重程度、身体状况择期手术
45181,治疗方法,饮食疗法，支持性治疗
45182,治疗方法,抗过敏药物治疗为主，辅以中药治疗
45183,治疗方法,骨髓移植
45184,治疗方法,药物治疗；
45185,治疗方法,RGP
45186,治疗方法,药物治疗如黏膜保护剂、抑酸剂，出血严重时可行内镜下钛铗止血
45187,治疗方法,无特殊药物治疗
45188,治疗方法,支持治疗，饮食调理，适当增加体力活动
45189,治疗方法,，以局部用药为主
45190,治疗方法,支持性治疗，饮食治疗
45191,治疗方法,小儿推拿
45192,治疗方法,药物治疗，低脂饮食，运动。
45193,治疗方法,药物治疗包括抑酸剂、生长抑素等，胃镜下止血治疗，介入手术及外科手术治疗
45194,治疗方法,改善认知功能
45195,治疗方法,手术治疗等
45196,治疗方法,介入动脉化疗栓塞
45197,治疗方法,调整饮食、补充优质蛋白质为主；同时积极去除病因，积极防治并发症
45198,治疗方法,药物栓塞治疗
45199,治疗方法,解除病因、控制感染，药物治疗、支持治疗
45200,治疗方法,物理性治疗
45201,治疗方法,为主，出现并发症需要手术治疗
45202,治疗方法,交通支静脉结扎
45203,治疗方法,抗菌素治疗，对症治疗
45204,治疗方法,药物治疗，佩戴助听器
45205,治疗方法,主要为药物治疗，对因处理，对症治疗
45206,治疗方法,介入放射治疗
45207,治疗方法,支持性治疗，手术治疗
45208,治疗方法,支持治疗，
45209,治疗方法,化疗
45210,治疗方法,内镜下切除治疗，较大者手术治疗
45211,治疗方法,保肝抗炎治疗
45212,治疗方法,冷冻疗法，刮除和烧灼疗法，光动力疗法
45213,治疗方法,饮食治疗
45214,治疗方法,针对病因治疗，积极治疗原发病
45215,治疗方法,因大部分不影响日常生活，所以不需要治疗。少部分可以手术治疗。
45216,治疗方法,对症
45217,治疗方法,免疫治疗
45218,治疗方法,西药治疗，中药治疗。
45219,治疗方法,主要针对原发病因治疗，必要时安装起搏器
45220,治疗方法,哟啊无治疗
45221,治疗方法,小儿推拿治疗
45222,治疗方法,对症治疗和病原治疗
45223,治疗方法,内窥镜手术
45224,治疗方法,口服药物、外用药物、药物瘤体注射、激光、手术切除、放射或冷冻
45225,治疗方法,药物治疗如黏膜保护剂、抑酸剂、胃肠动力药、中医治疗，幽门螺杆菌阳性者行根除治疗
45226,治疗方法,药物治疗、手术治疗和
45227,治疗方法,药物溶栓
45228,治疗方法,内镜治疗
45229,治疗方法,对症等治疗
45230,治疗方法,经皮冠脉介入治疗，冠脉搭桥治疗
45231,治疗方法,大剂量青霉素治疗、手术治疗
45232,治疗方法,根管治疗
45233,治疗方法,纤支镜气管冲洗术
45234,治疗方法,牙齿充填术
45235,治疗方法,药物治疗如保护胃肠黏膜、抑酸剂、抗生素、补液等
45236,治疗方法,药物治疗，心理治疗
45237,治疗方法,粪菌移植疗法
45238,治疗方法,局部治疗
45239,治疗方法,，支持性治疗，外科治疗
45240,治疗方法,拔牙治疗
45241,治疗方法,外科手术治疗
45242,治疗方法,手术治疗药物治疗康复治疗
45243,治疗方法,依据病变累及部位和范围治疗有不同，以激素或化疗为主要治疗
45244,治疗方法,针灸推拿治疗
45245,治疗方法,复位治疗
45246,治疗方法,心理、康复治疗等
45247,治疗方法,小肠移植
45248,治疗方法,手术切除为主
45249,治疗方法,抗菌药物治疗
45250,治疗方法,药物治疗、介入治疗、手术治疗
45251,治疗方法,戒酒治疗，药物治疗，
45252,治疗方法,物理治疗、补液治疗等
45253,治疗方法,超声洁治或者刮治
45254,治疗方法,全身化疗
45255,治疗方法,切除后药物防治
45256,治疗方法,局部用药
45257,治疗方法,激光电凝
45258,治疗方法,心理治疗等
